Tabelle: 1000A-3022
Personen: Alter (5er-Jahresgruppen) - Familienstand (ausführlich)/Familienstand - Geschlecht;;;;;;;;;;;;;;;;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Deutschland;;01 Schleswig-Holstein;;02 Hamburg;;03 Niedersachsen;;04 Bremen;;05 Nordrhein-Westfalen;;06 Hessen;;07 Rheinland-Pfalz;;08 Baden-Württemberg;;09 Bayern;;10 Saarland;;11 Berlin;;12 Brandenburg;;13 Mecklenburg-Vorpommern;;14 Sachsen;;15 Sachsen-Anhalt;;16 Thüringen;
;;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;;Personen;
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.05.2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Insgesamt;Insgesamt;Insgesamt;82719540;e;2927542;e;1808846;e;7943265;e;693204;e;17890489;e;6207278;e;4094169;e;11104040;e;13038724;e;1006864;e;3596999;e;2534075;e;1570817;e;4038131;e;2146443;e;2110396;e
;;Männlich;40674034;e;1428581;e;881766;e;3910391;e;341960;e;8771293;e;3052450;e;2017221;e;5493343;e;6438960;e;493920;e;1757012;e;1243525;e;767711;e;1981428;e;1049819;e;1039871;e
;;Weiblich;42045507;e;1498962;e;927080;e;4032873;e;351244;e;9119196;e;3154825;e;2076949;e;5610693;e;6599761;e;512943;e;1839986;e;1290548;e;803102;e;2056700;e;1096623;e;1070525;e
;Ledig;Insgesamt;34765559;e;1197086;e;927708;e;3219254;e;331899;e;7400863;e;2580441;e;1596259;e;4666407;e;5480653;e;393100;e;1905679;e;1025782;e;635374;e;1706950;e;849759;e;848344;e
;;Männlich;18840970;e;645172;e;484497;e;1753461;e;179940;e;3996962;e;1391973;e;869100;e;2532849;e;2976338;e;217036;e;1003371;e;561401;e;347940;e;936502;e;472329;e;472098;e
;;Weiblich;15924590;e;551916;e;443209;e;1465792;e;151957;e;3403904;e;1188469;e;727160;e;2133557;e;2504317;e;176061;e;902310;e;464378;e;287435;e;770450;e;377427;e;376249;e
;Verheiratet;Insgesamt;35117219;e;1241924;e;603042;e;3450443;e;252699;e;7648370;e;2669716;e;1833119;e;4936541;e;5743534;e;437850;e;1142066;e;1075478;e;655931;e;1632620;e;901196;e;892699;e
;;Männlich;17569520;e;620187;e;302041;e;1726284;e;126331;e;3819141;e;1335530;e;917448;e;2476759;e;2881542;e;218676;e;569074;e;538362;e;328199;e;815546;e;448528;e;445876;e
;;Weiblich;17547700;e;621739;e;300999;e;1724157;e;126364;e;3829227;e;1334183;e;915673;e;2459780;e;2861990;e;219175;e;572989;e;537119;e;327729;e;817073;e;452666;e;446824;e
;Verwitwet;Insgesamt;5681806;e;208941;e;99158;e;567666;e;44349;e;1236091;e;399130;e;286000;e;677438;e;826495;e;81920;e;197352;e;203807;e;135886;e;336625;e;199461;e;181480;e
;;Männlich;1130744;e;43679;e;20303;e;114738;e;8796;e;246353;e;78459;e;57407;e;134122;e;159733;e;16297;e;39889;e;41726;e;27438;e;65871;e;39427;e;36503;e
;;Weiblich;4551060;e;165260;e;78853;e;452927;e;35555;e;989740;e;320675;e;228591;e;543313;e;666759;e;65627;e;157462;e;162080;e;108450;e;270751;e;160036;e;144980;e
;Geschieden;Insgesamt;6334235;e;248373;e;153489;e;600915;e;59721;e;1374869;e;470821;e;310479;e;767270;e;937494;e;83848;e;324915;e;212163;e;133296;e;310925;e;175932;e;169740;e
;;Männlich;2683371;e;103490;e;60348;e;258591;e;24123;e;580785;e;196542;e;134732;e;319375;e;394772;e;36679;e;129384;e;94234;e;58944;e;136754;e;78772;e;75842;e
;;Weiblich;3650865;e;144878;e;93143;e;342321;e;35597;e;794087;e;274279;e;175750;e;447890;e;542724;e;47168;e;195529;e;117927;e;74350;e;174171;e;97158;e;93895;e
;Eingetragene Lebenspartnerschaften;Insgesamt;64175;e;2489;e;2771;e;4907;e;636;e;15211;e;4799;e;2953;e;6134;e;8608;e;719;e;8241;e;2061;e;981;e;2075;e;823;e;766;e
;;Männlich;35992;e;1166;e;1711;e;2439;e;342;e;8289;e;2882;e;1604;e;3405;e;4987;e;379;e;5332;e;1021;e;480;e;1187;e;374;e;392;e
;;Weiblich;28184;e;1324;e;1057;e;2465;e;295;e;6924;e;1915;e;1353;e;2732;e;3624;e;343;e;2912;e;1037;e;500;e;885;e;446;e;371;e
;Eingetr. Lebenspartner/-in verstorben;Insgesamt;5294;e;217;e;252;e;416;e;74;e;1321;e;453;e;219;e;434;e;631;e;57;e;724;e;129;e;62;e;168;e;72;e;59;e
;;Männlich;3536;e;132;e;190;e;255;e;49;e;896;e;286;e;134;e;279;e;422;e;37;e;557;e;78;e;35;e;110;e;50;e;32;e
;;Weiblich;1757;e;83;e;63;e;164;e;24;e;429;e;170;e;81;e;157;e;209;e;19;e;171;e;49;e;27;e;58;e;27;e;31;e
;Eingetragene Lebenspartnerschaft aufgehoben;Insgesamt;21111;e;783;e;959;e;1851;e;239;e;4945;e;1717;e;875;e;1709;e;2513;e;271;e;2905;e;647;e;299;e;729;e;402;e;270;e
;;Männlich;9683;e;255;e;575;e;667;e;108;e;2211;e;887;e;350;e;738;e;1187;e;102;e;1800;e;178;e;100;e;278;e;164;e;83;e
;;Weiblich;11431;e;525;e;387;e;1183;e;129;e;2735;e;827;e;526;e;976;e;1323;e;171;e;1102;e;468;e;197;e;449;e;241;e;189;e
