Tabelle: 1000X-3011
Personen: Alter (5er-Jahresgruppen) - Familienstand -;;;;;;;;;;;;;;;;;;;
Geschlecht;;;;;;;;;;;;;;;;;;;
Bevölkerung kompakt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Personen;;Personen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Deutschland;;01 Schleswig-Holstein;;02 Hamburg;;03 Niedersachsen;;04 Bremen;;05 Nordrhein-Westfalen;;06 Hessen;;07 Rheinland-Pfalz;;08 Baden-Württemberg;;09 Bayern;;10 Saarland;;11 Berlin;;12 Brandenburg;;13 Mecklenburg-Vorpommern;;14 Sachsen;;15 Sachsen-Anhalt;;16 Thüringen;
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
Insgesamt;Insgesamt;Insgesamt;80219695;e;2800119;e;1706696;e;7777992;e;650863;e;17538251;e;5971816;e;3989808;e;10486660;e;12397614;e;999623;e;3292365;e;2455780;e;1609982;e;4056799;e;2287040;e;2188589;e
;;Männlich;39145942;e;1360489;e;825451;e;3803777;e;316100;e;8517930;e;2913863;e;1950348;e;5132551;e;6062699;e;485050;e;1599655;e;1208329;e;793142;e;1977576;e;1117017;e;1076074;e
;;Weiblich;41073754;e;1439631;e;881246;e;3974217;e;334764;e;9020319;e;3057955;e;2039459;e;5354108;e;6334913;e;514574;e;1692707;e;1247451;e;816842;e;2079222;e;1170024;e;1112514;e
;Ledig;Insgesamt;32039092;e;1100434;e;804323;e;3047217;e;284079;e;6884166;e;2360826;e;1517633;e;4272993;e;5033588;e;367987;e;1564479;e;927772;e;627691;e;1569576;e;848715;e;827619;e
;;Männlich;17290363;e;591144;e;421681;e;1653756;e;153341;e;3690941;e;1270230;e;823897;e;2292372;e;2707462;e;201289;e;826823;e;513057;e;348976;e;862270;e;471510;e;461623;e
;;Weiblich;14748731;e;509294;e;382639;e;1393466;e;130739;e;3193223;e;1090592;e;693739;e;1980617;e;2326128;e;166696;e;737658;e;414716;e;278715;e;707309;e;377209;e;365994;e
;Verheiratet/Eingetr. Lebenspartnerschaft;Insgesamt;36738137;e;1282813;e;653905;e;3633176;e;260266;e;8152915;e;2788043;e;1906785;e;4889138;e;5724003;e;471428;e;1195432;e;1136349;e;727250;e;1840912;e;1056120;e;1019602;e
;;Männlich;18378098;e;640122;e;328555;e;1817275;e;130210;e;4074887;e;1396446;e;953156;e;2445654;e;2867416;e;235197;e;599080;e;568922;e;363948;e;920805;e;528084;e;508343;e
;;Weiblich;18360039;e;642693;e;325350;e;1815899;e;130058;e;4078030;e;1391593;e;953628;e;2443486;e;2856585;e;236230;e;596349;e;567429;e;363299;e;920108;e;528036;e;511260;e
;Verwitwet/Eingetr. Lebenspartner/-in verstorben;Insgesamt;5734713;e;199741;e;104597;e;570712;e;48131;e;1272678;e;409469;e;294955;e;667580;e;835387;e;84816;e;196972;e;191018;e;130393;e;345495;e;205537;e;177231;e
;;Männlich;1021386;e;36720;e;18019;e;101642;e;8410;e;223138;e;73497;e;53147;e;118084;e;145131;e;14836;e;35559;e;35959;e;24006;e;63165;e;37623;e;32448;e
;;Weiblich;4713324;e;163019;e;86574;e;469068;e;39725;e;1049537;e;335969;e;241810;e;549493;e;690256;e;69979;e;161415;e;155059;e;106390;e;282331;e;167914;e;144784;e
;Geschieden/Eingetr. Lebenspartnerschaft aufgehoben;Insgesamt;5683182;e;216241;e;143672;e;523868;e;58043;e;1225773;e;412452;e;268636;e;656139;e;803645;e;75286;e;334736;e;200364;e;124534;e;300440;e;175529;e;163829;e
;;Männlich;2440751;e;91994;e;57077;e;228996;e;23957;e;527424;e;173099;e;118942;e;275955;e;342023;e;33673;e;137748;e;90193;e;56141;e;131092;e;78964;e;73473;e
;;Weiblich;3242433;e;124250;e;86594;e;294875;e;34088;e;698346;e;239350;e;149694;e;380187;e;461620;e;41612;e;196991;e;110170;e;68396;e;169346;e;96564;e;90355;e
;Ohne Angabe;Insgesamt;24571;e;885;e;202;e;3021;e;345;e;2723;e;1033;e;1798;e;807;e;992;e;106;e;745;e;278;e;112;e;376;e;1144;e;308;e
;;Männlich;15341;e;511;e;111;e;2105;e;188;e;1539;e;581;e;1207;e;489;e;663;e;52;e;447;e;200;e;74;e;251;e;836;e;186;e
;;Weiblich;9231;e;370;e;89;e;916;e;159;e;1181;e;449;e;590;e;320;e;326;e;55;e;297;e;81;e;37;e;126;e;305;e;123;e
davon:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unter 5 Jahre;Insgesamt;Insgesamt;3338895;e;112644;e;78472;e;316399;e;26149;e;724083;e;255442;e;159396;e;455349;e;524574;e;34676;e;154211;e;95648;e;63999;e;168215;e;84561;e;84576;e
